topic_id,term,nb_news,nb_science,nb_patent,nb_news_topic,nb_science_topic,nb_patent_topic,npmi_news,npmi_science,npmi_patent,npmi_max,npmi_min
5698325,Electronic control unit,2367,219,3032,3212,824,16959,0.7833,0.7257,0.591,0.7833,0.591
5601035,Controller area networks,189,201,870,520,482,3097,0.5762,0.7576,0.5627,0.7576,0.5627
5659060,Control modules,2499,49,11843,4795,957,255485,0.7565,0.5285,0.5246,0.7565,0.5246
6413679,Brake-by-wire,121,18,181,204,122,570,0.5935,0.5647,0.5021,0.5935,0.5021
6254149,Domain controller,565,9,370,1509,118,1417,0.6316,0.4968,0.516,0.6316,0.4968
5632794,Electronic control,2527,232,3305,7211,1876,48363,0.718,0.6665,0.4934,0.718,0.4934
5698933,Body control module,605,3,261,887,10,1190,0.6861,0.5472,0.4861,0.6861,0.4861
5811646,Control area,194,201,894,2034,2227,10841,0.4738,0.6346,0.453,0.6346,0.453
5919815,Vehicle-to-grid,591,90,23,2057,1649,65,0.6119,0.5566,0.4391,0.6119,0.4391
6233325,Drive by wire,191,12,528,614,71,6536,0.5648,0.5587,0.4302,0.5648,0.4302
5690902,Power electronics,2451,307,781,12694,14864,12139,0.6586,0.5335,0.4231,0.6586,0.4231
5722640,Vehicle-to-vehicle,798,142,193,2086,1407,1674,0.6526,0.6248,0.4226,0.6526,0.4226
5691780,Data transmission,445,198,4360,4816,22722,141381,0.5035,0.4451,0.4217,0.5035,0.4217
5611501,Vehicle electrics,71,18,276,1619,326,4571,0.3836,0.497,0.3808,0.497,0.3808
6348763,Local Interconnect Network,18,10,19,29,30,132,0.5225,0.5953,0.3705,0.5953,0.3705
5919751,Vehicle bus,7,5,64,87,77,830,0.3664,0.4675,0.3576,0.4675,0.3576
5678133,Sensor interfaces,41,9,175,345,393,3519,0.4395,0.4185,0.3525,0.4395,0.3525
5605098,Data bus,34,6,371,969,121,5943,0.3495,0.4569,0.3938,0.4569,0.3495
5698033,Communication circuits,6,2,723,50,163,18908,0.3882,0.3448,0.3732,0.3882,0.3448
5679146,Data transfer,726,83,521,10955,3835,16692,0.4971,0.4843,0.344,0.4971,0.344
5674418,Bus communication,5,11,431,82,87,3932,0.3433,0.535,0.4475,0.535,0.3433
5655837,Power electronic systems,47,20,38,190,454,502,0.4943,0.4857,0.3429,0.4943,0.3429
5600060,Bus systems,27,65,161,930,1830,3312,0.3323,0.5136,0.3477,0.5136,0.3323
5801942,Bus (computing),9,11,239,221,155,4660,0.3295,0.4991,0.3633,0.4991,0.3295
5682649,Vehicle electronics,77,10,126,1165,108,3105,0.4168,0.5119,0.3283,0.5119,0.3283
5680272,Brake systems,298,35,691,18272,2869,29572,0.3492,0.414,0.3276,0.414,0.3276
6223244,Transmission rate,43,13,1159,934,3017,17287,0.374,0.3185,0.4422,0.4422,0.3185
5908918,System bus,5,4,108,131,498,1475,0.3144,0.3334,0.3682,0.3682,0.3144
5661965,Brake pressure,13,5,118,223,129,3326,0.3613,0.4366,0.3143,0.4366,0.3143
5823039,Electric vehicle,2170,236,1247,203755,46532,83241,0.3738,0.4079,0.3028,0.4079,0.3028
5738809,Hydraulic brake,24,7,142,690,463,5007,0.341,0.3854,0.3013,0.3854,0.3013
6178169,Engineering controls,184,16,281,3330,1199,12344,0.4316,0.3983,0.301,0.4316,0.301
5690893,Automotive electronics,1918,32,61,11433,846,1715,0.6287,0.492,0.2991,0.6287,0.2991
5698322,Powertrain control module,648,2,3,789,8,36,0.7071,0.5216,0.2976,0.7071,0.2976
5600038,Bus structure,1,2,28,17,68,655,0.3108,0.396,0.2971,0.396,0.2971
5680859,Brake pedals,84,7,260,2129,188,11747,0.3812,0.4439,0.297,0.4439,0.297
5726480,Active steering,17,4,23,520,377,511,0.3293,0.351,0.2965,0.351,0.2965
5693175,Battery management system,170,9,267,5215,1431,12451,0.3876,0.3351,0.2952,0.3876,0.2952
5597524,Power electronics technologies,48,9,14,301,166,287,0.4636,0.4737,0.2914,0.4737,0.2914
5726376,Electronic stability control,46,5,22,1868,1318,385,0.3321,0.2914,0.3114,0.3321,0.2914
5696750,Control unit,2880,241,4247,16825,4003,469850,0.6563,0.6097,0.2882,0.6563,0.2882
5905792,Steering ratio,29,4,7,266,42,144,0.4235,0.4849,0.2783,0.4849,0.2783
6075127,Electric bus,73,10,43,5901,1121,1498,0.2934,0.3615,0.2762,0.3615,0.2762
5787903,Advanced driver assistance systems,220,12,23,9079,2817,685,0.3712,0.3162,0.2754,0.3712,0.2754
5732546,Vehicle,3318,532,6907,491781,158816,991878,0.3469,0.3994,0.275,0.3994,0.275
5659182,Communication technique,6,3,995,246,926,4614,0.2902,0.2734,0.5452,0.5452,0.2734
5692181,Traction control system,25,3,13,1129,373,342,0.3114,0.3281,0.273,0.3281,0.273
5703358,Charge control,32,4,291,1329,1336,18006,0.3222,0.2732,0.2722,0.3222,0.2722
5702024,Steering wheel,450,15,522,28165,1702,38496,0.3595,0.3689,0.2711,0.3689,0.2711
5633005,Charging vehicles,23,1,41,404,77,1551,0.3738,0.3345,0.2695,0.3738,0.2695
5703459,Master cylinder,17,4,123,835,85,6480,0.298,0.4418,0.2665,0.4418,0.2665
5721596,Bus network,11,15,94,812,913,1195,0.2658,0.4104,0.3701,0.4104,0.2658
6122592,Invertible module,3,2,43,43,94,1749,0.3402,0.3775,0.2655,0.3775,0.2655
5726467,Steering,657,39,898,43153,16398,83193,0.3679,0.302,0.265,0.3679,0.265
5670842,Transfer rate,86,10,204,2099,4892,4877,0.3845,0.2644,0.3435,0.3845,0.2644
5741308,Speed sensor,40,3,318,3116,545,22813,0.2841,0.3057,0.262,0.3057,0.262
5625362,Electric automobiles,13,1,406,1095,96,25302,0.2584,0.3226,0.2797,0.3226,0.2584
5620618,Charge (electric),742,72,1024,46890,15465,103724,0.3745,0.3659,0.2581,0.3745,0.2581
5707364,Active safety,80,4,35,4224,1111,1520,0.3268,0.2843,0.2572,0.3268,0.2572
5659545,Vehicle steering,11,2,87,705,215,4791,0.2738,0.3296,0.2566,0.3296,0.2566
6176335,Vehicle-to-everything,137,10,37,2588,402,1670,0.4168,0.4265,0.2557,0.4265,0.2557
5678578,Steering control,113,2,221,593,780,8457,0.506,0.2535,0.3059,0.506,0.2535
5601506,Traction control,97,4,28,3638,226,1245,0.356,0.3817,0.2518,0.3817,0.2518
5705931,Bus monitor,1,3,31,50,39,378,0.2507,0.4651,0.3453,0.4651,0.2507
5643484,Mechanical brake,7,1,48,144,117,2456,0.3353,0.3108,0.2506,0.3353,0.2506
5726847,Brake,299,49,1154,57847,13595,130680,0.2567,0.3363,0.2505,0.3363,0.2505
6227846,Platoon,12,17,23,1135,2795,965,0.2498,0.3473,0.2523,0.3473,0.2498
5895671,School bus,117,2,20,10693,453,853,0.2946,0.2847,0.2485,0.2946,0.2485
5679199,Wiring harnesses,162,6,418,8076,198,38851,0.3487,0.4258,0.2473,0.4258,0.2473
5668456,Emergency brakes,189,5,114,10544,679,7612,0.344,0.3325,0.2467,0.344,0.2467
5620312,Electric brakes,13,1,63,833,128,3645,0.2766,0.3057,0.2463,0.3057,0.2463
5685948,Automotive electrics,946,11,10,8091,150,372,0.5592,0.501,0.2458,0.5592,0.2458
5889016,Range extender (vehicle),31,3,23,1446,294,1070,0.3136,0.3432,0.2458,0.3432,0.2458
5608253,Commercial vehicles,392,12,99,47585,1693,6501,0.3012,0.3497,0.2454,0.3497,0.2454
5604102,Vehicle safety,123,12,84,4643,852,5318,0.3617,0.3948,0.2449,0.3948,0.2449
